score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.6628889,10.833549,300.0,10,0,128,1,GrosseWentrup2009,TS+SVM
0.5746667,10.285353,300.0,1,0,128,1,GrosseWentrup2009,TS+SVM
0.8377778,9.96345,300.0,2,0,128,1,GrosseWentrup2009,TS+SVM
0.88244444,9.996177,300.0,3,0,128,1,GrosseWentrup2009,TS+SVM
0.9584444,11.248187,300.0,4,0,128,1,GrosseWentrup2009,TS+SVM
0.91044444,11.250835,300.0,5,0,128,1,GrosseWentrup2009,TS+SVM
0.8711111,10.230627,300.0,6,0,128,1,GrosseWentrup2009,TS+SVM
0.4811111,10.813359,300.0,7,0,128,1,GrosseWentrup2009,TS+SVM
0.522,10.330459,300.0,8,0,128,1,GrosseWentrup2009,TS+SVM
0.70444447,10.053379,300.0,9,0,128,1,GrosseWentrup2009,TS+SVM
0.82177776,3.1962285,300.0,10,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.634,3.1575992,300.0,1,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.87333333,3.1509027,300.0,2,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.69777775,3.1088493,300.0,3,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.79866666,3.1395118,300.0,4,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.9208889,3.1999686,300.0,5,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.9173333,3.1904724,300.0,6,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.56622225,3.2012966,300.0,7,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.7071111,3.1806843,300.0,8,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.7491111,3.2324157,300.0,9,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.5611111,9.9540825,300.0,10,0,128,1,GrosseWentrup2009,MDM
0.5611111,9.944109,300.0,10,0,128,1,GrosseWentrup2009,MDM
0.56755555,9.261658,300.0,1,0,128,1,GrosseWentrup2009,MDM
0.56755555,9.220377,300.0,1,0,128,1,GrosseWentrup2009,MDM
0.73044443,9.063659,300.0,2,0,128,1,GrosseWentrup2009,MDM
0.73044443,9.087158,300.0,2,0,128,1,GrosseWentrup2009,MDM
0.7031111,9.11243,300.0,3,0,128,1,GrosseWentrup2009,MDM
0.7031111,9.046491,300.0,3,0,128,1,GrosseWentrup2009,MDM
0.7262222,10.290395,300.0,4,0,128,1,GrosseWentrup2009,MDM
0.7262222,10.123172,300.0,4,0,128,1,GrosseWentrup2009,MDM
0.6611111,10.11627,300.0,5,0,128,1,GrosseWentrup2009,MDM
0.6611111,10.077293,300.0,5,0,128,1,GrosseWentrup2009,MDM
0.6386667,9.285009,300.0,6,0,128,1,GrosseWentrup2009,MDM
0.6386667,9.143993,300.0,6,0,128,1,GrosseWentrup2009,MDM
0.51266664,9.997389,300.0,7,0,128,1,GrosseWentrup2009,MDM
0.51266664,9.978788,300.0,7,0,128,1,GrosseWentrup2009,MDM
0.48466668,9.249028,300.0,8,0,128,1,GrosseWentrup2009,MDM
0.48466668,9.262121,300.0,8,0,128,1,GrosseWentrup2009,MDM
0.5971111,9.030779,300.0,9,0,128,1,GrosseWentrup2009,MDM
0.5971111,9.162805,300.0,9,0,128,1,GrosseWentrup2009,MDM
0.75555557,10.9275875,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.75555557,10.695209,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.75555557,10.687119,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.61466664,10.25672,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.61466664,10.1122,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.61466664,10.138139,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.80866665,10.067108,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.80866665,9.985169,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.80866665,9.980922,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9071111,10.293244,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9071111,10.078524,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9071111,9.898187,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.98244447,11.13685,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.98244447,10.971425,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.98244447,10.95754,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.95133334,11.340391,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.95133334,11.135029,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.95133334,11.117814,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.92822224,10.251976,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.92822224,10.087726,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.92822224,10.217307,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5368889,11.036874,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5368889,10.727012,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5368889,10.754187,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.598,10.4033,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.598,10.142645,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.598,10.140209,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.778,10.330709,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.778,10.021247,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.778,10.210215,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.92244446,10.583489,300.0,10,0,128,1,GrosseWentrup2009,TS+LR
0.6906667,10.03033,300.0,1,0,128,1,GrosseWentrup2009,TS+LR
0.938,9.665041,300.0,2,0,128,1,GrosseWentrup2009,TS+LR
0.97844446,9.823723,300.0,3,0,128,1,GrosseWentrup2009,TS+LR
