pipeline,Zhou2016
CSP+LDA,93.40±7.05
CSP+SVM,93.39±6.17
DLCSPauto+shLDA,92.93±6.99
FgMDM,92.35±7.40
LogVariance+LDA,88.02±11.15
LogVariance+SVM,85.67±8.00
MDM,90.62±6.60
TRCSP+LDA,93.31±6.43
TS+EL,94.42±6.57
TS+LR,94.44±6.18
