samples,subject,channels,n_sessions,dataset,pipeline,score,time
160.0,7,3,5,BNCI2014-004,CSP+LDA,0.8598959,0.07887704
160.0,7,3,5,BNCI2014-004,CSP+SVM,0.8541667,0.08233249
160.0,7,3,5,BNCI2014-004,DLCSPauto+shLDA,0.8622396,0.08364005
160.0,7,3,5,BNCI2014-004,FgMDM,0.84999996,0.08524614
160.0,7,3,5,BNCI2014-004,LogVariance+LDA,0.8200521,0.007312838
160.0,7,3,5,BNCI2014-004,LogVariance+SVM,0.8187501,0.006379541
160.0,7,3,5,BNCI2014-004,MDM,0.85755205,0.086545736
160.0,7,3,5,BNCI2014-004,TRCSP+LDA,0.84270835,0.01634957
160.0,7,3,5,BNCI2014-004,TS+EL,0.8536458,0.080001384
160.0,7,3,5,BNCI2014-004,TS+LR,0.86015624,0.07951633
160.0,8,3,5,BNCI2014-004,CSP+LDA,0.94088537,0.09033423
160.0,8,3,5,BNCI2014-004,CSP+SVM,0.93854165,0.08115974
160.0,8,3,5,BNCI2014-004,DLCSPauto+shLDA,0.9401042,0.08132669
160.0,8,3,5,BNCI2014-004,FgMDM,0.9328125,0.0849661
160.0,8,3,5,BNCI2014-004,LogVariance+LDA,0.9380209,0.007972479
160.0,8,3,5,BNCI2014-004,LogVariance+SVM,0.93645835,0.0064890385
160.0,8,3,5,BNCI2014-004,MDM,0.93098956,0.090052985
160.0,8,3,5,BNCI2014-004,TRCSP+LDA,0.9429688,0.016469685
160.0,8,3,5,BNCI2014-004,TS+EL,0.9427083,0.08072128
160.0,8,3,5,BNCI2014-004,TS+LR,0.9427083,0.08620855
160.0,9,3,5,BNCI2014-004,CSP+LDA,0.9244792,0.07654991
160.0,9,3,5,BNCI2014-004,CSP+SVM,0.9242187,0.085401915
160.0,9,3,5,BNCI2014-004,DLCSPauto+shLDA,0.92369795,0.081461795
160.0,9,3,5,BNCI2014-004,FgMDM,0.9223959,0.08693516
160.0,9,3,5,BNCI2014-004,LogVariance+LDA,0.90755206,0.0072289784
160.0,9,3,5,BNCI2014-004,LogVariance+SVM,0.90546876,0.006061411
160.0,9,3,5,BNCI2014-004,MDM,0.8770833,0.08072504
160.0,9,3,5,BNCI2014-004,TRCSP+LDA,0.91536456,0.0154521465
160.0,9,3,5,BNCI2014-004,TS+EL,0.9223959,0.08122765
160.0,9,3,5,BNCI2014-004,TS+LR,0.921875,0.085215665
