score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8888889,1.2409317,120.0,1,0train,3,5,BNCI2014-004,TS+EL
0.67777777,1.2278657,120.0,1,1train,3,5,BNCI2014-004,TS+EL
0.86328125,1.5968658,160.0,1,2train,3,5,BNCI2014-004,TS+EL
0.92890626,1.6187795,160.0,1,3test,3,5,BNCI2014-004,TS+EL
0.83203125,1.6107959,160.0,1,4test,3,5,BNCI2014-004,TS+EL
0.6722222,1.2409928,120.0,2,0train,3,5,BNCI2014-004,TS+EL
0.6888889,1.2288394,120.0,2,1train,3,5,BNCI2014-004,TS+EL
0.59765625,1.5994487,160.0,2,2train,3,5,BNCI2014-004,TS+EL
0.62777776,1.2396597,120.0,2,3test,3,5,BNCI2014-004,TS+EL
0.6148437,1.5790808,160.0,2,4test,3,5,BNCI2014-004,TS+EL
0.59444445,1.2361971,120.0,3,0train,3,5,BNCI2014-004,TS+EL
0.50416666,1.226742,120.0,3,1train,3,5,BNCI2014-004,TS+EL
0.45078126,1.620143,160.0,3,2train,3,5,BNCI2014-004,TS+EL
0.5359375,1.6181285,160.0,3,3test,3,5,BNCI2014-004,TS+EL
0.61875,1.6024454,160.0,3,4test,3,5,BNCI2014-004,TS+EL
0.94861114,1.2457547,120.0,4,0train,3,5,BNCI2014-004,TS+EL
0.9489796,1.4113318,140.0,4,1train,3,5,BNCI2014-004,TS+EL
1.0,1.6108603,160.0,4,2train,3,5,BNCI2014-004,TS+EL
0.9984375,1.6202502,160.0,4,3test,3,5,BNCI2014-004,TS+EL
0.9898437,1.6115055,160.0,4,4test,3,5,BNCI2014-004,TS+EL
0.59583336,1.2219888,120.0,5,0train,3,5,BNCI2014-004,TS+EL
0.8102041,1.4042727,140.0,5,1train,3,5,BNCI2014-004,TS+EL
0.959375,1.6177081,160.0,5,2train,3,5,BNCI2014-004,TS+EL
0.95234376,1.6171677,160.0,5,3test,3,5,BNCI2014-004,TS+EL
0.8335937,1.611519,160.0,5,4test,3,5,BNCI2014-004,TS+EL
0.8902778,1.2333354,120.0,6,0train,3,5,BNCI2014-004,TS+EL
0.85694444,1.2353375,120.0,6,1train,3,5,BNCI2014-004,TS+EL
0.85625,1.5911809,160.0,6,2train,3,5,BNCI2014-004,TS+EL
0.93828124,1.6164017,160.0,6,3test,3,5,BNCI2014-004,TS+EL
0.95703125,1.6272349,160.0,6,4test,3,5,BNCI2014-004,TS+EL
0.69722223,1.2293131,120.0,7,0train,3,5,BNCI2014-004,TS+EL
0.6611111,1.2330936,120.0,7,1train,3,5,BNCI2014-004,TS+EL
0.93125,1.6040628,160.0,7,2train,3,5,BNCI2014-004,TS+EL
0.80625,1.6344439,160.0,7,3test,3,5,BNCI2014-004,TS+EL
0.85078126,1.6091838,160.0,7,4test,3,5,BNCI2014-004,TS+EL
0.6671875,1.6261308,160.0,8,0train,3,5,BNCI2014-004,TS+EL
0.7263889,1.2312009,120.0,8,1train,3,5,BNCI2014-004,TS+EL
0.9375,1.6396974,160.0,8,2train,3,5,BNCI2014-004,TS+EL
0.9296875,1.5960469,160.0,8,3test,3,5,BNCI2014-004,TS+EL
0.96484375,1.6001782,160.0,8,4test,3,5,BNCI2014-004,TS+EL
0.7361111,1.2234755,120.0,9,0train,3,5,BNCI2014-004,TS+EL
0.66944444,1.2337464,120.0,9,1train,3,5,BNCI2014-004,TS+EL
0.89375,1.5990562,160.0,9,2train,3,5,BNCI2014-004,TS+EL
0.94453126,1.5913386,160.0,9,3test,3,5,BNCI2014-004,TS+EL
0.9125,1.6182898,160.0,9,4test,3,5,BNCI2014-004,TS+EL
0.8763889,0.012933826,120.0,1,0train,3,5,BNCI2014-004,TRCSP+LDA
0.6888889,0.012862968,120.0,1,1train,3,5,BNCI2014-004,TRCSP+LDA
0.8734375,0.014919614,160.0,1,2train,3,5,BNCI2014-004,TRCSP+LDA
0.92265624,0.015076208,160.0,1,3test,3,5,BNCI2014-004,TRCSP+LDA
0.8296875,0.014906501,160.0,1,4test,3,5,BNCI2014-004,TRCSP+LDA
0.70555556,0.012774562,120.0,2,0train,3,5,BNCI2014-004,TRCSP+LDA
0.70555556,0.012650919,120.0,2,1train,3,5,BNCI2014-004,TRCSP+LDA
0.61875,0.01558094,160.0,2,2train,3,5,BNCI2014-004,TRCSP+LDA
0.6041667,0.012503481,120.0,2,3test,3,5,BNCI2014-004,TRCSP+LDA
0.5671875,0.015291929,160.0,2,4test,3,5,BNCI2014-004,TRCSP+LDA
0.6041667,0.012830496,120.0,3,0train,3,5,BNCI2014-004,TRCSP+LDA
0.5541667,0.012483453,120.0,3,1train,3,5,BNCI2014-004,TRCSP+LDA
0.41484374,0.015752649,160.0,3,2train,3,5,BNCI2014-004,TRCSP+LDA
0.55390626,0.015092325,160.0,3,3test,3,5,BNCI2014-004,TRCSP+LDA
0.5679687,0.014721965,160.0,3,4test,3,5,BNCI2014-004,TRCSP+LDA
0.94305557,0.013312483,120.0,4,0train,3,5,BNCI2014-004,TRCSP+LDA
0.9510204,0.013426399,140.0,4,1train,3,5,BNCI2014-004,TRCSP+LDA
1.0,0.015131903,160.0,4,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9976562,0.015372371,160.0,4,3test,3,5,BNCI2014-004,TRCSP+LDA
0.98359376,0.0150833605,160.0,4,4test,3,5,BNCI2014-004,TRCSP+LDA
0.60833335,0.012491035,120.0,5,0train,3,5,BNCI2014-004,TRCSP+LDA
0.8081633,0.013577414,140.0,5,1train,3,5,BNCI2014-004,TRCSP+LDA
0.9554688,0.0153745655,160.0,5,2train,3,5,BNCI2014-004,TRCSP+LDA
0.959375,0.015712451,160.0,5,3test,3,5,BNCI2014-004,TRCSP+LDA
0.83203125,0.0151052,160.0,5,4test,3,5,BNCI2014-004,TRCSP+LDA
0.88611114,0.012271548,120.0,6,0train,3,5,BNCI2014-004,TRCSP+LDA
0.84583336,0.013061285,120.0,6,1train,3,5,BNCI2014-004,TRCSP+LDA
0.865625,0.014665032,160.0,6,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9421875,0.015497494,160.0,6,3test,3,5,BNCI2014-004,TRCSP+LDA
0.95625,0.0147025585,160.0,6,4test,3,5,BNCI2014-004,TRCSP+LDA
0.6791667,0.012723351,120.0,7,0train,3,5,BNCI2014-004,TRCSP+LDA
0.59583336,0.012591362,120.0,7,1train,3,5,BNCI2014-004,TRCSP+LDA
0.925,0.015103626,160.0,7,2train,3,5,BNCI2014-004,TRCSP+LDA
0.7734375,0.015232849,160.0,7,3test,3,5,BNCI2014-004,TRCSP+LDA
0.85078126,0.014916658,160.0,7,4test,3,5,BNCI2014-004,TRCSP+LDA
0.63125,0.015021992,160.0,8,0train,3,5,BNCI2014-004,TRCSP+LDA
0.7277778,0.0123512745,120.0,8,1train,3,5,BNCI2014-004,TRCSP+LDA
0.92890626,0.015058327,160.0,8,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9328125,0.014767599,160.0,8,3test,3,5,BNCI2014-004,TRCSP+LDA
0.9640625,0.015177536,160.0,8,4test,3,5,BNCI2014-004,TRCSP+LDA
0.73194444,0.012868357,120.0,9,0train,3,5,BNCI2014-004,TRCSP+LDA
0.65555555,0.012443399,120.0,9,1train,3,5,BNCI2014-004,TRCSP+LDA
0.89453125,0.015282583,160.0,9,2train,3,5,BNCI2014-004,TRCSP+LDA
0.93828124,0.014982033,160.0,9,3test,3,5,BNCI2014-004,TRCSP+LDA
0.90234375,0.01511097,160.0,9,4test,3,5,BNCI2014-004,TRCSP+LDA
0.87083334,0.18658438,120.0,1,0train,3,5,BNCI2014-004,LogVariance+SVM
0.6652778,0.18592486,120.0,1,1train,3,5,BNCI2014-004,LogVariance+SVM
0.8703125,0.20388274,160.0,1,2train,3,5,BNCI2014-004,LogVariance+SVM
0.8929688,0.20212832,160.0,1,3test,3,5,BNCI2014-004,LogVariance+SVM
0.8109375,0.20575781,160.0,1,4test,3,5,BNCI2014-004,LogVariance+SVM
0.73333335,0.18678251,120.0,2,0train,3,5,BNCI2014-004,LogVariance+SVM
0.68194443,0.18738456,120.0,2,1train,3,5,BNCI2014-004,LogVariance+SVM
0.62109375,0.25812978,160.0,2,2train,3,5,BNCI2014-004,LogVariance+SVM
0.61527777,0.1882052,120.0,2,3test,3,5,BNCI2014-004,LogVariance+SVM
0.60234374,0.20573926,160.0,2,4test,3,5,BNCI2014-004,LogVariance+SVM
0.55277777,0.1895452,120.0,3,0train,3,5,BNCI2014-004,LogVariance+SVM
0.4263889,0.19804797,120.0,3,1train,3,5,BNCI2014-004,LogVariance+SVM
0.5125,0.21435356,160.0,3,2train,3,5,BNCI2014-004,LogVariance+SVM
0.5101563,0.21030803,160.0,3,3test,3,5,BNCI2014-004,LogVariance+SVM
0.6148437,0.21041092,160.0,3,4test,3,5,BNCI2014-004,LogVariance+SVM
0.9638889,0.18865228,120.0,4,0train,3,5,BNCI2014-004,LogVariance+SVM
0.9418367,0.19303861,140.0,4,1train,3,5,BNCI2014-004,LogVariance+SVM
0.99921876,0.19780836,160.0,4,2train,3,5,BNCI2014-004,LogVariance+SVM
0.99609375,0.20037737,160.0,4,3test,3,5,BNCI2014-004,LogVariance+SVM
0.9859375,0.19962773,160.0,4,4test,3,5,BNCI2014-004,LogVariance+SVM
0.5861111,0.1878613,120.0,5,0train,3,5,BNCI2014-004,LogVariance+SVM
0.78571427,0.20080142,140.0,5,1train,3,5,BNCI2014-004,LogVariance+SVM
0.93046874,0.20678607,160.0,5,2train,3,5,BNCI2014-004,LogVariance+SVM
0.9140625,0.20484504,160.0,5,3test,3,5,BNCI2014-004,LogVariance+SVM
0.7445313,0.2065701,160.0,5,4test,3,5,BNCI2014-004,LogVariance+SVM
0.8958333,0.19147845,120.0,6,0train,3,5,BNCI2014-004,LogVariance+SVM
0.82361114,0.18703476,120.0,6,1train,3,5,BNCI2014-004,LogVariance+SVM
0.8796875,0.2040433,160.0,6,2train,3,5,BNCI2014-004,LogVariance+SVM
0.9328125,0.20694704,160.0,6,3test,3,5,BNCI2014-004,LogVariance+SVM
0.9507812,0.20312628,160.0,6,4test,3,5,BNCI2014-004,LogVariance+SVM
0.6638889,0.19032302,120.0,7,0train,3,5,BNCI2014-004,LogVariance+SVM
0.5847222,0.19022003,120.0,7,1train,3,5,BNCI2014-004,LogVariance+SVM
0.88671875,0.20856123,160.0,7,2train,3,5,BNCI2014-004,LogVariance+SVM
0.7390625,0.21291074,160.0,7,3test,3,5,BNCI2014-004,LogVariance+SVM
0.8203125,0.20645633,160.0,7,4test,3,5,BNCI2014-004,LogVariance+SVM
0.6625,0.2140007,160.0,8,0train,3,5,BNCI2014-004,LogVariance+SVM
0.72083336,0.19242625,120.0,8,1train,3,5,BNCI2014-004,LogVariance+SVM
0.92265624,0.20490913,160.0,8,2train,3,5,BNCI2014-004,LogVariance+SVM
0.921875,0.20814495,160.0,8,3test,3,5,BNCI2014-004,LogVariance+SVM
0.96484375,0.20411953,160.0,8,4test,3,5,BNCI2014-004,LogVariance+SVM
0.68472224,0.18700047,120.0,9,0train,3,5,BNCI2014-004,LogVariance+SVM
0.6111111,0.19553022,120.0,9,1train,3,5,BNCI2014-004,LogVariance+SVM
0.89140624,0.20432934,160.0,9,2train,3,5,BNCI2014-004,LogVariance+SVM
0.94140625,0.20413451,160.0,9,3test,3,5,BNCI2014-004,LogVariance+SVM
0.88671875,0.20519443,160.0,9,4test,3,5,BNCI2014-004,LogVariance+SVM
0.8833333,1.4836525,120.0,1,0train,3,5,BNCI2014-004,TS+SVM
0.67638886,1.4640405,120.0,1,1train,3,5,BNCI2014-004,TS+SVM
0.8765625,1.9012549,160.0,1,2train,3,5,BNCI2014-004,TS+SVM
0.93359375,1.9091432,160.0,1,3test,3,5,BNCI2014-004,TS+SVM
0.82109374,1.9085832,160.0,1,4test,3,5,BNCI2014-004,TS+SVM
0.63055557,1.4740455,120.0,2,0train,3,5,BNCI2014-004,TS+SVM
0.7125,1.469566,120.0,2,1train,3,5,BNCI2014-004,TS+SVM
0.609375,1.906367,160.0,2,2train,3,5,BNCI2014-004,TS+SVM
0.62916666,1.476285,120.0,2,3test,3,5,BNCI2014-004,TS+SVM
0.5835937,1.8862479,160.0,2,4test,3,5,BNCI2014-004,TS+SVM
0.6111111,1.4613693,120.0,3,0train,3,5,BNCI2014-004,TS+SVM
0.55694443,1.4685795,120.0,3,1train,3,5,BNCI2014-004,TS+SVM
0.39453125,1.9311028,160.0,3,2train,3,5,BNCI2014-004,TS+SVM
0.5265625,1.929927,160.0,3,3test,3,5,BNCI2014-004,TS+SVM
0.6226562,1.9490031,160.0,3,4test,3,5,BNCI2014-004,TS+SVM
0.9527778,1.4620088,120.0,4,0train,3,5,BNCI2014-004,TS+SVM
0.9397959,1.7013315,140.0,4,1train,3,5,BNCI2014-004,TS+SVM
1.0,1.8932503,160.0,4,2train,3,5,BNCI2014-004,TS+SVM
0.99921876,1.9072804,160.0,4,3test,3,5,BNCI2014-004,TS+SVM
0.98125,1.9189484,160.0,4,4test,3,5,BNCI2014-004,TS+SVM
0.5833333,1.4618552,120.0,5,0train,3,5,BNCI2014-004,TS+SVM
0.81122446,1.6735992,140.0,5,1train,3,5,BNCI2014-004,TS+SVM
0.9625,1.9297014,160.0,5,2train,3,5,BNCI2014-004,TS+SVM
0.9515625,1.9174201,160.0,5,3test,3,5,BNCI2014-004,TS+SVM
