score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.84061223,0.8414637,144.0,1,0train,22,2,BNCI2014-001,LogVariance+SVM
0.7794558,0.8020587,144.0,1,1test,22,2,BNCI2014-001,LogVariance+SVM
0.5117007,0.7874076,144.0,2,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5756463,0.8076615,144.0,2,1test,22,2,BNCI2014-001,LogVariance+SVM
0.9570068,0.72463953,144.0,3,0train,22,2,BNCI2014-001,LogVariance+SVM
0.95428574,0.7744359,144.0,3,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7364626,0.7398484,144.0,4,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5520408,0.8025452,144.0,4,1test,22,2,BNCI2014-001,LogVariance+SVM
0.45285714,0.7805072,144.0,5,0train,22,2,BNCI2014-001,LogVariance+SVM
0.519932,0.71123326,144.0,5,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7251701,0.7154577,144.0,6,0train,22,2,BNCI2014-001,LogVariance+SVM
0.61163265,0.78294,144.0,6,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7837415,0.7181586,144.0,7,0train,22,2,BNCI2014-001,LogVariance+SVM
0.84959185,0.78989446,144.0,7,1test,22,2,BNCI2014-001,LogVariance+SVM
0.98353744,0.7366072,144.0,8,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9613606,0.74168986,144.0,8,1test,22,2,BNCI2014-001,LogVariance+SVM
0.8407483,0.7224193,144.0,9,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9635374,0.75925946,144.0,9,1test,22,2,BNCI2014-001,LogVariance+SVM
0.93061227,0.24385233,144.0,1,0train,22,2,BNCI2014-001,FgMDM
0.9379592,0.24075489,144.0,1,1test,22,2,BNCI2014-001,FgMDM
0.65938777,0.30308303,144.0,2,0train,22,2,BNCI2014-001,FgMDM
0.65088433,0.30261964,144.0,2,1test,22,2,BNCI2014-001,FgMDM
0.98938775,0.27215034,144.0,3,0train,22,2,BNCI2014-001,FgMDM
0.99517006,0.21425276,144.0,3,1test,22,2,BNCI2014-001,FgMDM
0.8608163,0.30124307,144.0,4,0train,22,2,BNCI2014-001,FgMDM
0.91340137,0.28005037,144.0,4,1test,22,2,BNCI2014-001,FgMDM
0.56693876,0.31009245,144.0,5,0train,22,2,BNCI2014-001,FgMDM
0.72034013,0.30855352,144.0,5,1test,22,2,BNCI2014-001,FgMDM
0.8256463,0.2832694,144.0,6,0train,22,2,BNCI2014-001,FgMDM
0.7963265,0.24221262,144.0,6,1test,22,2,BNCI2014-001,FgMDM
0.79312927,0.28873652,144.0,7,0train,22,2,BNCI2014-001,FgMDM
0.9531973,0.306662,144.0,7,1test,22,2,BNCI2014-001,FgMDM
0.9961905,0.29060322,144.0,8,0train,22,2,BNCI2014-001,FgMDM
0.99707484,0.3126227,144.0,8,1test,22,2,BNCI2014-001,FgMDM
0.8746939,0.2150085,144.0,9,0train,22,2,BNCI2014-001,FgMDM
0.9654422,0.2923244,144.0,9,1test,22,2,BNCI2014-001,FgMDM
0.9614286,0.17707153,144.0,1,0train,22,2,BNCI2014-001,TS+LR
0.97619045,0.21395783,144.0,1,1test,22,2,BNCI2014-001,TS+LR
0.6338776,0.24890041,144.0,2,0train,22,2,BNCI2014-001,TS+LR
0.6577551,0.24297246,144.0,2,1test,22,2,BNCI2014-001,TS+LR
0.9959184,0.22683243,144.0,3,0train,22,2,BNCI2014-001,TS+LR
0.9960544,0.1789319,144.0,3,1test,22,2,BNCI2014-001,TS+LR
0.8546939,0.2516969,144.0,4,0train,22,2,BNCI2014-001,TS+LR
0.897483,0.17395464,144.0,4,1test,22,2,BNCI2014-001,TS+LR
0.5835374,0.24679752,144.0,5,0train,22,2,BNCI2014-001,TS+LR
0.69265306,0.2563687,144.0,5,1test,22,2,BNCI2014-001,TS+LR
