dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-001,CSP+LDA,0.782376,1.0828876,2592.0,22.0,2.0
BNCI2014-001,CSP+SVM,0.8165102,50.116814,2592.0,22.0,2.0
BNCI2014-001,DLCSPauto+shLDA,0.78233445,1.0890806,2592.0,22.0,2.0
BNCI2014-001,FgMDM,0.83557177,2.933269,2592.0,22.0,2.0
BNCI2014-001,LogVariance+LDA,0.74341846,0.19378452,2592.0,22.0,2.0
BNCI2014-001,LogVariance+SVM,0.74225724,6.786252,2592.0,22.0,2.0
BNCI2014-001,MDM,0.609706,2.1846232,2592.0,22.0,2.0
BNCI2014-001,TRCSP+LDA,0.780196,0.25721675,2592.0,22.0,2.0
BNCI2014-001,TS+EL,0.8542204,15.720828,2592.0,22.0,2.0
BNCI2014-001,TS+LR,0.8544758,2.3445783,2592.0,22.0,2.0
BNCI2014-001,TS+SVM,0.88679534,14.383603,2592.0,22.0,2.0
