dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-001,CSP+LDA,0.8355624,0.16380802,144.0,22.0,2.0
BNCI2014-001,CSP+SVM,0.82704264,17.501175,144.0,22.0,2.0
BNCI2014-001,DLCSPauto+shLDA,0.83630186,0.16513735,144.0,22.0,2.0
BNCI2014-001,FgMDM,0.8371163,0.31890988,144.0,22.0,2.0
BNCI2014-001,LogVariance+LDA,0.7494535,0.03051063,144.0,22.0,2.0
BNCI2014-001,LogVariance+SVM,0.75272423,0.74670875,144.0,22.0,2.0
BNCI2014-001,MDM,0.7991791,0.2547581,144.0,22.0,2.0
BNCI2014-001,TRCSP+LDA,0.7845186,0.04786046,144.0,22.0,2.0
BNCI2014-001,TS+EL,0.86157405,3.6642456,144.0,22.0,2.0
BNCI2014-001,TS+LR,0.86046815,0.25974867,144.0,22.0,2.0
BNCI2014-001,TS+SVM,0.84990996,3.8771427,144.0,22.0,2.0
