score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.74833333,3919.9705,5780.0,4,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9169388,3919.9705,5780.0,4,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9703125,3919.9705,5780.0,4,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.91234374,3919.9705,5780.0,4,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9323437,3919.9705,5780.0,4,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6538889,2813.5422,5780.0,5,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6397959,2813.5422,5780.0,5,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.8278125,2813.5422,5780.0,5,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.90515625,2813.5422,5780.0,5,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.70203125,2813.5422,5780.0,5,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.62416667,2199.065,5800.0,6,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6205556,2199.065,5800.0,6,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.5246875,2199.065,5800.0,6,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.5570313,2199.065,5800.0,6,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.64265627,2199.065,5800.0,6,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.70805556,2200.1267,5800.0,7,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.7152778,2200.1267,5800.0,7,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.8078125,2200.1267,5800.0,7,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.75125,2200.1267,5800.0,7,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.83984375,2200.1267,5800.0,7,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.62953126,2401.9849,5760.0,8,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6377778,2401.9849,5760.0,8,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.90171874,2401.9849,5760.0,8,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.87921876,2401.9849,5760.0,8,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.98,2401.9849,5760.0,8,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.66305554,2199.5515,5800.0,9,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.67388886,2199.5515,5800.0,9,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.8815625,2199.5515,5800.0,9,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.94078124,2199.5515,5800.0,9,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.88609374,2199.5515,5800.0,9,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
