score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.7161111,3493.6301,5780.0,4,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8585714,3493.6301,5780.0,4,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.9295313,3493.6301,5780.0,4,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8759375,3493.6301,5780.0,4,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8390625,3493.6301,5780.0,4,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.5952778,3327.209,5780.0,5,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6393877,3327.209,5780.0,5,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.65015626,3327.209,5780.0,5,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6248438,3327.209,5780.0,5,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.62546873,3327.209,5780.0,5,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.61138886,3327.239,5800.0,6,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.60583335,3327.239,5800.0,6,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.5414063,3327.239,5800.0,6,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.5796875,3327.239,5800.0,6,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6534375,3327.239,5800.0,6,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6294444,2424.3762,5800.0,7,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.605,2424.3762,5800.0,7,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6559375,2424.3762,5800.0,7,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.66203123,2424.3762,5800.0,7,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.73796874,2424.3762,5800.0,7,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.64375,1706.5125,5760.0,8,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.61083335,1706.5125,5760.0,8,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.884375,1706.5125,5760.0,8,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.87828124,1706.5125,5760.0,8,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.98546875,1706.5125,5760.0,8,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.6552778,1687.3173,5800.0,9,0train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.57472223,1687.3173,5800.0,9,1train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.75390625,1687.3173,5800.0,9,2train,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8279688,1687.3173,5800.0,9,3test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7478125,1687.3173,5800.0,9,4test,3,5,BNCI2014-004,Keras_EEGNeX,LeftRightImagery,CrossSubject
