score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.87722224,52.829494,5800.0,1,0train,3,5,BNCI2014-004,TS+EL
0.70361114,52.829494,5800.0,1,1train,3,5,BNCI2014-004,TS+EL
0.83703125,52.829494,5800.0,1,2train,3,5,BNCI2014-004,TS+EL
0.88328123,52.829494,5800.0,1,3test,3,5,BNCI2014-004,TS+EL
0.75953126,52.829494,5800.0,1,4test,3,5,BNCI2014-004,TS+EL
0.6880556,53.091988,5840.0,2,0train,3,5,BNCI2014-004,TS+EL
0.53194445,53.091988,5840.0,2,1train,3,5,BNCI2014-004,TS+EL
0.61640626,53.091988,5840.0,2,2train,3,5,BNCI2014-004,TS+EL
0.65166664,53.091988,5840.0,2,3test,3,5,BNCI2014-004,TS+EL
0.5726563,53.091988,5840.0,2,4test,3,5,BNCI2014-004,TS+EL
0.6336111,52.795357,5800.0,3,0train,3,5,BNCI2014-004,TS+EL
0.6286111,52.795357,5800.0,3,1train,3,5,BNCI2014-004,TS+EL
0.5364063,52.795357,5800.0,3,2train,3,5,BNCI2014-004,TS+EL
0.5971875,52.795357,5800.0,3,3test,3,5,BNCI2014-004,TS+EL
0.60296875,52.795357,5800.0,3,4test,3,5,BNCI2014-004,TS+EL
0.93333334,52.53081,5780.0,4,0train,3,5,BNCI2014-004,TS+EL
0.9334694,52.53081,5780.0,4,1train,3,5,BNCI2014-004,TS+EL
0.9996875,52.53081,5780.0,4,2train,3,5,BNCI2014-004,TS+EL
0.9976562,52.53081,5780.0,4,3test,3,5,BNCI2014-004,TS+EL
0.9834375,52.53081,5780.0,4,4test,3,5,BNCI2014-004,TS+EL
0.655,52.495274,5780.0,5,0train,3,5,BNCI2014-004,TS+EL
0.82265306,52.495274,5780.0,5,1train,3,5,BNCI2014-004,TS+EL
0.9585937,52.495274,5780.0,5,2train,3,5,BNCI2014-004,TS+EL
0.94359374,52.495274,5780.0,5,3test,3,5,BNCI2014-004,TS+EL
0.8384375,52.495274,5780.0,5,4test,3,5,BNCI2014-004,TS+EL
0.8272222,52.61564,5800.0,6,0train,3,5,BNCI2014-004,TS+EL
0.7475,52.61564,5800.0,6,1train,3,5,BNCI2014-004,TS+EL
0.7734375,52.61564,5800.0,6,2train,3,5,BNCI2014-004,TS+EL
0.881875,52.61564,5800.0,6,3test,3,5,BNCI2014-004,TS+EL
0.9220312,52.61564,5800.0,6,4test,3,5,BNCI2014-004,TS+EL
0.65694445,52.697372,5800.0,7,0train,3,5,BNCI2014-004,TS+EL
0.60555553,52.697372,5800.0,7,1train,3,5,BNCI2014-004,TS+EL
0.8825,52.697372,5800.0,7,2train,3,5,BNCI2014-004,TS+EL
0.7590625,52.697372,5800.0,7,3test,3,5,BNCI2014-004,TS+EL
0.8439062,52.697372,5800.0,7,4test,3,5,BNCI2014-004,TS+EL
0.6159375,52.21155,5760.0,8,0train,3,5,BNCI2014-004,TS+EL
0.6622222,52.21155,5760.0,8,1train,3,5,BNCI2014-004,TS+EL
0.924375,52.21155,5760.0,8,2train,3,5,BNCI2014-004,TS+EL
0.9309375,52.21155,5760.0,8,3test,3,5,BNCI2014-004,TS+EL
0.9721875,52.21155,5760.0,8,4test,3,5,BNCI2014-004,TS+EL
0.7366667,52.610935,5800.0,9,0train,3,5,BNCI2014-004,TS+EL
0.67583334,52.610935,5800.0,9,1train,3,5,BNCI2014-004,TS+EL
0.9125,52.610935,5800.0,9,2train,3,5,BNCI2014-004,TS+EL
0.94953126,52.610935,5800.0,9,3test,3,5,BNCI2014-004,TS+EL
0.89203125,52.610935,5800.0,9,4test,3,5,BNCI2014-004,TS+EL
0.87277776,0.2821071,5800.0,1,0train,3,5,BNCI2014-004,TRCSP+LDA
0.7113889,0.2821071,5800.0,1,1train,3,5,BNCI2014-004,TRCSP+LDA
0.8521875,0.2821071,5800.0,1,2train,3,5,BNCI2014-004,TRCSP+LDA
0.884375,0.2821071,5800.0,1,3test,3,5,BNCI2014-004,TRCSP+LDA
0.7653125,0.2821071,5800.0,1,4test,3,5,BNCI2014-004,TRCSP+LDA
0.6913889,0.28329968,5840.0,2,0train,3,5,BNCI2014-004,TRCSP+LDA
0.5113889,0.28329968,5840.0,2,1train,3,5,BNCI2014-004,TRCSP+LDA
0.625625,0.28329968,5840.0,2,2train,3,5,BNCI2014-004,TRCSP+LDA
0.63527775,0.28329968,5840.0,2,3test,3,5,BNCI2014-004,TRCSP+LDA
0.5725,0.28329968,5840.0,2,4test,3,5,BNCI2014-004,TRCSP+LDA
0.63527775,0.28285837,5800.0,3,0train,3,5,BNCI2014-004,TRCSP+LDA
0.6122222,0.28285837,5800.0,3,1train,3,5,BNCI2014-004,TRCSP+LDA
0.55546874,0.28285837,5800.0,3,2train,3,5,BNCI2014-004,TRCSP+LDA
0.5815625,0.28285837,5800.0,3,3test,3,5,BNCI2014-004,TRCSP+LDA
0.6142188,0.28285837,5800.0,3,4test,3,5,BNCI2014-004,TRCSP+LDA
0.9086111,0.28578544,5780.0,4,0train,3,5,BNCI2014-004,TRCSP+LDA
0.9255102,0.28578544,5780.0,4,1train,3,5,BNCI2014-004,TRCSP+LDA
0.99921876,0.28578544,5780.0,4,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9976562,0.28578544,5780.0,4,3test,3,5,BNCI2014-004,TRCSP+LDA
0.9796875,0.28578544,5780.0,4,4test,3,5,BNCI2014-004,TRCSP+LDA
